,Industry,Year,Metric,Attribute,Value,Scenario
1364,Government,2085,6-IndirectBusinessTaxes,Direct,-19464.242,Base Case
1365,Government,2085,6-IndirectBusinessTaxes,Indirect,-11883.778,Base Case
1366,Government,2085,6-IndirectBusinessTaxes,Induced,-20420.962,Base Case
1367,Government,2085,6-IndirectBusinessTaxes,Total,-51768.986,Base Case
1368,Government,2085,7-TotalValueAdded,Direct,429287.64,Base Case
1369,Government,2085,7-TotalValueAdded,Indirect,322339.446,Base Case
1370,Government,2085,7-TotalValueAdded,Induced,2803624.272,Base Case
1371,Government,2085,7-TotalValueAdded,Total,3555251.352,Base Case
1372,Government,2085,8-Output,Direct,910698.974,Base Case
1373,Government,2085,8-Output,Indirect,584713.924,Base Case
1374,Government,2085,8-Output,Induced,3078774.754,Base Case
1375,Government,2085,8-Output,Total,4574187.652,Base Case
1376,Government,2090,1-Employment,Direct,3.066,Base Case
1377,Government,2090,1-Employment,Indirect,2.502,Base Case
1378,Government,2090,1-Employment,Induced,39.686,Base Case
1379,Government,2090,1-Employment,Total,45.248,Base Case
1380,Government,2090,2-EmployeeCompensation,Direct,250882.612,Base Case
1381,Government,2090,2-EmployeeCompensation,Indirect,214285.046,Base Case
1382,Government,2090,2-EmployeeCompensation,Induced,2756977.112,Base Case
1383,Government,2090,2-EmployeeCompensation,Total,3222144.774,Base Case
1384,Government,2090,3-PropietorsIncome,Direct,0,Base Case
1385,Government,2090,3-PropietorsIncome,Indirect,0,Base Case
1386,Government,2090,3-PropietorsIncome,Induced,0,Base Case
1387,Government,2090,3-PropietorsIncome,Total,0,Base Case
1388,Government,2090,4-LaborIncome,Direct,250882.612,Base Case
1389,Government,2090,4-LaborIncome,Indirect,214285.046,Base Case
1390,Government,2090,4-LaborIncome,Induced,2756977.112,Base Case
1391,Government,2090,4-LaborIncome,Total,3222144.774,Base Case
1392,Government,2090,5-OtherPropertyTypeIncome,Direct,293592.266,Base Case
1393,Government,2090,5-OtherPropertyTypeIncome,Indirect,177407.532,Base Case
1394,Government,2090,5-OtherPropertyTypeIncome,Induced,708800.79,Base Case
1395,Government,2090,5-OtherPropertyTypeIncome,Total,1179800.59,Base Case
1396,Government,2090,6-IndirectBusinessTaxes,Direct,-23960.12,Base Case
1397,Government,2090,6-IndirectBusinessTaxes,Indirect,-14409.326,Base Case
1398,Government,2090,6-IndirectBusinessTaxes,Induced,-24838.192,Base Case
1399,Government,2090,6-IndirectBusinessTaxes,Total,-63207.64,Base Case
1400,Government,2090,7-TotalValueAdded,Direct,520514.758,Base Case
1401,Government,2090,7-TotalValueAdded,Indirect,377283.256,Base Case
1402,Government,2090,7-TotalValueAdded,Induced,3440939.706,Base Case
1403,Government,2090,7-TotalValueAdded,Total,4338737.716,Base Case
1404,Government,2090,8-Output,Direct,1105681.612,Base Case
1405,Government,2090,8-Output,Indirect,690587.142,Base Case
1406,Government,2090,8-Output,Induced,3775769.126,Base Case
1407,Government,2090,8-Output,Total,5572037.872,Base Case
1408,Government,2095,1-Employment,Direct,3.142,Base Case
1409,Government,2095,1-Employment,Indirect,2.552,Base Case
1410,Government,2095,1-Employment,Induced,40.694,Base Case
1411,Government,2095,1-Employment,Total,46.388,Base Case
1412,Government,2095,2-EmployeeCompensation,Direct,256919.682,Base Case
1413,Government,2095,2-EmployeeCompensation,Indirect,218625.658,Base Case
1414,Government,2095,2-EmployeeCompensation,Induced,2827841.842,Base Case
1415,Government,2095,2-EmployeeCompensation,Total,3303387.18,Base Case
1416,Government,2095,3-PropietorsIncome,Direct,0,Base Case
1417,Government,2095,3-PropietorsIncome,Indirect,0,Base Case
1418,Government,2095,3-PropietorsIncome,Induced,0,Base Case
1419,Government,2095,3-PropietorsIncome,Total,0,Base Case
1420,Government,2095,4-LaborIncome,Direct,256919.682,Base Case
1421,Government,2095,4-LaborIncome,Indirect,218625.658,Base Case
1422,Government,2095,4-LaborIncome,Induced,2827841.842,Base Case
1423,Government,2095,4-LaborIncome,Total,3303387.18,Base Case
1424,Government,2095,5-OtherPropertyTypeIncome,Direct,300529.68,Base Case
1425,Government,2095,5-OtherPropertyTypeIncome,Indirect,181144.436,Base Case
1426,Government,2095,5-OtherPropertyTypeIncome,Induced,726627.764,Base Case
1427,Government,2095,5-OtherPropertyTypeIncome,Total,1208301.886,Base Case
1428,Government,2095,6-IndirectBusinessTaxes,Direct,-24551.966,Base Case
1429,Government,2095,6-IndirectBusinessTaxes,Indirect,-14762.304,Base Case
1430,Government,2095,6-IndirectBusinessTaxes,Induced,-25435.382,Base Case
1431,Government,2095,6-IndirectBusinessTaxes,Total,-64749.66,Base Case
1432,Government,2095,7-TotalValueAdded,Direct,532897.394,Base Case
1433,Government,2095,7-TotalValueAdded,Indirect,385007.79,Base Case
1434,Government,2095,7-TotalValueAdded,Induced,3529034.224,Base Case
1435,Government,2095,7-TotalValueAdded,Total,4446939.406,Base Case
1436,Government,2095,8-Output,Direct,1132073.132,Base Case
1437,Government,2095,8-Output,Indirect,705531.508,Base Case
1438,Government,2095,8-Output,Induced,3871940.504,Base Case
1439,Government,2095,8-Output,Total,5709545.148,Base Case
1440,Government,2100,1-Employment,Direct,3.124,Base Case
1441,Government,2100,1-Employment,Indirect,2.54,Base Case
1442,Government,2100,1-Employment,Induced,40.502,Base Case
1443,Government,2100,1-Employment,Total,46.168,Base Case
1444,Government,2100,2-EmployeeCompensation,Direct,255638.332,Base Case
1445,Government,2100,2-EmployeeCompensation,Indirect,217769.998,Base Case
1446,Government,2100,2-EmployeeCompensation,Induced,2814252.336,Base Case
1447,Government,2100,2-EmployeeCompensation,Total,3287660.66,Base Case
1448,Government,2100,3-PropietorsIncome,Direct,0,Base Case
1449,Government,2100,3-PropietorsIncome,Indirect,0,Base Case
1450,Government,2100,3-PropietorsIncome,Induced,0,Base Case
1451,Government,2100,3-PropietorsIncome,Total,0,Base Case
1452,Government,2100,4-LaborIncome,Direct,255638.332,Base Case
1453,Government,2100,4-LaborIncome,Indirect,217769.998,Base Case
1454,Government,2100,4-LaborIncome,Induced,2814252.336,Base Case
1455,Government,2100,4-LaborIncome,Total,3287660.66,Base Case
1456,Government,2100,5-OtherPropertyTypeIncome,Direct,299023.8,Base Case
1457,Government,2100,5-OtherPropertyTypeIncome,Indirect,180363.582,Base Case
1458,Government,2100,5-OtherPropertyTypeIncome,Induced,723215.108,Base Case
1459,Government,2100,5-OtherPropertyTypeIncome,Total,1202602.494,Base Case
1460,Government,2100,6-IndirectBusinessTaxes,Direct,-24430.362,Base Case
1461,Government,2100,6-IndirectBusinessTaxes,Indirect,-14696.232,Base Case
